"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"way","mɨn(ɨ)","DIST.INAN","DIST.INAN","d.inan","wayanatavares2005[184]",
"ikp","ug+jam","DIST.INAN","MED.ANIM.PL","uku+PL-2","ikpengpacheco2001[119]",
"tri","ooni","DIST.INAN","DIST.INAN",,"triomeira1999[154]",
"apa","mono+ʔne","DIST.INAN.PL","DIST.INAN.PL","?+PL-4","koehn1986apalai[95]",
"kar","monɨ+kon","DIST.INAN.PL","DIST.INAN.PL","d.inan+PL-1","courtz2008carib[53]",
"way","mɨn(ɨ)+komo","DIST.INAN.PL","DIST.INAN.PL","d.inan+PL-1","wayanatavares2005[184]",
"ikp","mu+jam","DIST.INAN.PL","DIST.INAN.PL","d.inan+PL-2","ikpengpacheco2001[119]",
"tri","ooni+to(mo)","DIST.INAN.PL","DIST.INAN.PL",,"triomeira1999[154]",
"tri","mə(nɨ)","INVIS.INAN","INVIS.INAN","d.inan","triomeira1999[154]",
"ing","mɨkɨ","MED.ANIM","DIST.ANIM","d.anim","cruz2005fonologia[191]",
"kar","moʔko","MED.ANIM","MED.ANIM","d.anim","courtz2008carib[53]",
"aka","kɨ+rə","MED.ANIM","MED.ANIM","d.anim+EMP","stegeman2014akawaio[85]",
"apa","mokɨ+ro","MED.ANIM","MED.ANIM","d.anim+EMP","koehn1986apalai[95]",
"hix","mok+ro","MED.ANIM","MED.ANIM","d.anim+EMP","hixkaryanaderby1985[7]",
"kax","moko+ro","MED.ANIM","MED.ANIM","d.anim+EMP",,
"mac","mɨɨkɨ+rɨ","MED.ANIM","MED.ANIM","d.anim+EMP",,
"pan","kə+n","INVIS.ANIM","MED.ANIM","d.anim+EMP","panarepayne2013[89]",
"pem","məʔ+rə","MED.ANIM","MED.ANIM","d.anim+EMP","swiggers2010gramatica[120]",
"PPem","məkɨ(+rə)","MED.ANIM","MED.ANIM","d.anim+EMP",,
"PPP","məkɨ(+rə)","MED.ANIM","MED.ANIM","d.anim+EMP",,
"PTar","məkɨ+rə","MED.ANIM","MED.ANIM","d.anim+EMP","meira1998proto[67]",
"tri","məə+rə","MED.ANIM","MED.ANIM","d.anim+EMP","triomeira1999[154]",
"wai","mɨk+ro","MED.ANIM","MED.ANIM","d.anim+EMP",,
"way","mək+rə(+rə)","MED.ANIM","MED.ANIM","d.anim+EMP+EMP","wayanatavares2005[184]",
"mak","məə+jə","MED.ANIM",,,"maquiritaricaceres2011[122]",
"hix","mok+jamo","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2","hixkaryanaderby1985[7]",
"ing","mɨkɨ+jamə","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2","cruz2005fonologia[191]",
"apa","mok+a+ro","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2+EMP","koehn1986apalai[95]",
"kax","mok+ja+rɨ","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2+EMP",,
"way","mək+ja(+rə)","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2+EMP","wayanatavares2005[184]",
"kar","moʔk+a+ro(+n)","MED.ANIM.PL","MED.ANIM.PL","d.anim+PL-2+EMP+?","courtz2008carib[53]","Final /n/ only in eastern Surinamese."
"mac","inkamoro","MED.ANIM.PL","MED.ANIM.PL",,,
"mak","kanno","MED.ANIM.PL","MED.ANIM.PL",,"maquiritaricaceres2011[122]",
"pem","iʔsinnan","MED.ANIM.PL","MED.ANIM.PL",,"garcia2006diccionario[77]",
"PTar","məəjamo","MED.ANIM.PL","MED.ANIM.PL",,"meira1998proto[67]",
"tri","məə+ja(mo)","MED.ANIM.PL","MED.ANIM.PL",,"triomeira1999[154]",
"car","mənɨ","MED.INAN","DIST.INAN","d.inan","guerrero2019carijo[86]",
"aka","mərə","MED.INAN","MED.INAN","m.inan","stegeman2014akawaio[197]",
"aku","mərə","MED.INAN","MED.INAN","m.inan","meira1998proto[174]",
"apa","moro","MED.INAN","MED.INAN","m.inan","koehn1986apalai[95]",
"bak","mərə","MED.INAN","MED.INAN","m.inan","meira2005southern[180]",
"car","mərə","MED.INAN","MED.INAN","m.inan","guerrero2019carijo[86]",
"hix","moro","MED.INAN","MED.INAN","m.inan","hixkaryanaderby1985[7]",
"ing","mə(r)ə","MED.INAN","MED.INAN","m.inan","cruz2005fonologia[191]",
"kar","moro","MED.INAN","MED.INAN","m.inan","courtz2008carib[53]",
"kax","moro","MED.INAN","MED.INAN","m.inan",,
"mak","mərə","MED.INAN","MED.INAN","m.inan","maquiritaricaceres2011[122]",
"pan","mən","INVIS.INAN","MED.INAN","m.inan","panarepayne2013[89]",
"pem","mərə","MED.INAN","MED.INAN","m.inan","swiggers2010gramatica[120]",
"PPem","mərə","MED.INAN","MED.INAN","m.inan",,
"PPP","mərə","MED.INAN","MED.INAN","m.inan",,
"PTar","mərə","MED.INAN","MED.INAN","m.inan","meira1998proto[67]",
"tri","mərə","MED.INAN","MED.INAN","m.inan","triomeira1999[154]",
"wai","moro","MED.INAN","MED.INAN","m.inan",,
"way","mərə","MED.INAN","MED.INAN","m.inan","wayanatavares2005[184]",
"wmr","mɨrɨ","MED.INAN","MED.INAN","m.inan","waimiribruno2003[77]","check meaning"
"yab","mərə","MED.INAN","MED.INAN","m.inan",,"check meaning"
"mac","mɨrɨ+rɨ","MED.INAN","MED.INAN","m.inan+EMP","macushiabbott1991[105]",
"mac","siini","MED.INAN",,,"macushiabbott1991[105]",
"pem","sinnɨʔ","MED.INAN",,,"swiggers2010gramatica[120]",
"pan","mən+kon","INVIS.INAN.PL","MED.INAN.PL","d.inan+PL-1","panarepayne2013[89]",
"kar","moro+kon","MED.INAN.PL","MED.INAN.PL","m.inan+PL-1","courtz2008carib[53]",
"way","mərə+komo","MED.INAN.PL","MED.INAN.PL","m.inan+PL-1","wayanatavares2005[184]",
"ing","mərə+jamə","MED.INAN.PL","MED.INAN.PL","m.inan+PL-2","cruz2005fonologia[191]",
